ano,escolas_publicas_com_af,escolas_publicas_com_af_integral,escolas_estaduais_com_af,escolas_estaduais_com_af_integral,escolas_municipais_com_af,escolas_municipais_com_af_integral,matriculas_publicas_af,matriculas_publicas_af_integral,matriculas_estaduais_af,matriculas_estaduais_af_integral,matriculas_municipais_af,matriculas_municipais_af_integral,pct_escolas_publicas_af_integral,pct_escolas_estaduais_af_integral,pct_escolas_municipais_af_integral,pct_matriculas_estaduais_af_integral,pct_matriculas_municipais_af_integral
2015,846,415,294,114,552,301,193598,22468,69733,4225,123865,18243,49.1,38.8,54.5,6.1,14.7
2016,836,183,288,25,548,158,193033,10927,69576,1963,123457,8964,21.9,8.7,28.8,2.8,7.3
2017,837,192,289,29,548,163,194176,12557,70357,3455,123819,9102,22.9,10.0,29.7,4.9,7.4
2018,825,140,283,40,542,100,195268,9354,72719,4749,122549,4605,17.0,14.1,18.5,6.5,3.8
2019,816,174,286,42,530,132,194515,11711,75582,5103,118933,6608,21.3,14.7,24.9,6.8,5.6
2020,822,149,292,59,530,90,193607,14392,75121,9800,118486,4592,18.1,20.2,17.0,13.0,3.9
2021,823,160,293,75,530,85,197286,21364,75559,13893,121727,7471,19.4,25.6,16.0,18.4,6.1
2022,824,314,288,118,536,196,192093,29391,71509,18605,120584,10786,38.1,41.0,36.6,26.0,8.9
2023,814,307,282,131,532,176,188872,31817,67993,21358,120879,10459,37.7,46.5,33.1,31.4,8.7
2024,800,311,265,126,535,185,185840,35297,61106,23666,124734,11631,38.9,47.5,34.6,38.7,9.3
